food_name,category,serving_size,calories,protein,carbs,fat,dietary_preference
Tamarind Chutney,Condiment,2 tbsp (30g),60,0.5,15,0.5,Vegetarian
Biryani Masala,Spice Mix,1 tsp (5g),15,0.5,3,0.5,Vegetarian
Garam Masala,Spice Mix,1 tsp (5g),10,0.5,2,0.5,Vegetarian
Mango Pickle,Condiment,1 tbsp (15g),30,0.5,5,2.0,Vegetarian
Papad,Snack,1 piece (15g),50,2.0,6,2.0,Vegetarian
Raita,Side Dish,1 bowl (100g),80,3.0,10,3.0,Vegetarian
Vegetable Korma,Main Dish,1 bowl (200g),220,6.0,25,12.0,Vegetarian
Chicken Korma,Main Dish,1 bowl (200g),300,18.0,15,18.0,Non-Vegetarian
Bhindi Masala,Main Dish,1 bowl (200g),180,4.0,20,10.0,Vegetarian
Dahi Vada,Snack,2 pieces (150g),200,6.0,25,10.0,Vegetarian
Pongal,Breakfast,1 plate (200g),220,6.0,35,7.0,Vegetarian
Kesari,Dessert,1 bowl (100g),200,3.0,30,8.0,Vegetarian
Sev Puri,Snack,6 pieces (120g),180,4.0,25,8.0,Vegetarian
Chicken 65,Snack,4 pieces (120g),250,18.0,10,15.0,Non-Vegetarian
Mysore Pak,Dessert,1 piece (50g),200,3.0,25,12.0,Vegetarian
Puri,Staple,2 pieces (80g),200,4.0,25,10.0,Vegetarian
Aloo Tikki,Snack,2 pieces (100g),200,4.0,30,8.0,Vegetarian
Methi Thepla,Snack,2 pieces (100g),220,5.0,30,10.0,Vegetarian
Kadhi,Lentil Dish,1 bowl (200g),150,5.0,20,6.0,Vegetarian
Pakora,Snack,4 pieces (100g),200,4.0,25,10.0,Vegetarian
Vegetable Samosa,Snack,1 piece (100g),250,4.0,30,12.0,Vegetarian
Mutton Biryani,Main Dish,1 plate (250g),420,22.0,50,18.0,Non-Vegetarian
Fish Fry (Pomfret),Main Dish,1 piece (100g),220,18.0,5,14.0,Non-Vegetarian
Chicken Curry,Main Dish,1 bowl (200g),280,20.0,10,18.0,Non-Vegetarian
Palak Dal,Lentil Dish,1 bowl (200g),180,8.0,20,8.0,Vegetarian
Gajar Halwa,Dessert,1 bowl (100g),250,4.0,35,12.0,Vegetarian
Rasgulla,Dessert,2 pieces (100g),200,5.0,35,6.0,Vegetarian
Chole Bhature,Main Dish,1 plate (200g),400,10.0,50,20.0,Vegetarian
Uttapam,Breakfast,1 piece (150g),200,5.0,35,6.0,Vegetarian
Kachori,Snack,1 piece (80g),220,4.0,25,12.0,Vegetarian
Vegetable Fried Rice,Main Dish,1 plate (200g),220,5.0,40,6.0,Vegetarian
Egg Bhurji,Main Dish,1 plate (150g),200,12.0,10,12.0,Non-Vegetarian
Paneer Tikka,Main Dish,4 pieces (120g),250,12.0,10,18.0,Vegetarian
Shahi Paneer,Main Dish,1 bowl (200g),300,12.0,15,20.0,Vegetarian
Mutton Curry,Main Dish,1 bowl (200g),350,20.0,10,25.0,Non-Vegetarian
Pesarattu,Breakfast,1 piece (150g),200,6.0,30,7.0,Vegetarian
Sabudana Khichdi,Breakfast,1 plate (150g),250,3.0,40,10.0,Vegetarian
Aloo Matar,Main Dish,1 bowl (200g),180,5.0,25,8.0,Vegetarian
Keema Pav,Main Dish,1 plate (200g),350,18.0,35,15.0,Non-Vegetarian
Rava Idli,Breakfast,2 pieces (100g),150,4.0,25,4.0,Vegetarian
Barfi,Dessert,1 piece (50g),200,4.0,25,10.0,Vegetarian
Veg Hakka Noodles,Main Dish,1 plate (200g),250,6.0,40,8.0,Vegetarian
Chicken Fried Rice,Main Dish,1 plate (200g),300,15.0,40,10.0,Non-Vegetarian
Tandoori Roti,Staple,1 piece (50g),150,4.0,25,2.0,Vegetarian
Mushroom Masala,Main Dish,1 bowl (200g),180,5.0,20,10.0,Vegetarian
Lauki Sabzi,Main Dish,1 bowl (200g),120,3.0,15,5.0,Vegetarian
Prawn Fry,Main Dish,4 pieces (120g),220,18.0,5,14.0,Non-Vegetarian
Seviyan Kheer,Dessert,1 bowl (150g),200,5.0,30,8.0,Vegetarian
Aloo Puri,Main Dish,1 plate (200g),300,6.0,40,12.0,Vegetarian
Egg Paratha,Breakfast,1 piece (120g),250,8.0,30,12.0,Non-Vegetarian
Vegetable Upma,Breakfast,1 plate (150g),200,5.0,35,6.0,Vegetarian
Matar Paneer,Main Dish,1 bowl (200g),250,12.0,15,15.0,Vegetarian
