food_name,category,serving_size,calories,protein,carbs,fat,dietary_preference,source
Rava Idli,Breakfast,2 pieces (100g),150,4.0,25,4.0,Vegetarian,INDIAN
Barfi,Dessert,1 piece (50g),200,4.0,25,10.0,Vegetarian,INDIAN
Veg Hakka Noodles,Main Dish,1 plate (200g),250,6.0,40,8.0,Vegetarian,INDIAN
Chicken Fried Rice,Main Dish,1 plate (200g),300,15.0,40,10.0,Non-Vegetarian,INDIAN
Tandoori Roti,Staple,1 piece (50g),150,4.0,25,2.0,Vegetarian,INDIAN
Mushroom Masala,Main Dish,1 bowl (200g),180,5.0,20,10.0,Vegetarian,INDIAN
Lauki Sabzi,Main Dish,1 bowl (200g),120,3.0,15,5.0,Vegetarian,INDIAN
Prawn Fry,Main Dish,4 pieces (120g),220,18.0,5,14.0,Non-Vegetarian,INDIAN
Seviyan Kheer,Dessert,1 bowl (150g),200,5.0,30,8.0,Vegetarian,INDIAN
Aloo Puri,Main Dish,1 plate (200g),300,6.0,40,12.0,Vegetarian,INDIAN
Egg Paratha,Breakfast,1 piece (120g),250,8.0,30,12.0,Non-Vegetarian,INDIAN
Vegetable Upma,Breakfast,1 plate (150g),200,5.0,35,6.0,Vegetarian,INDIAN
Matar Paneer,Main Dish,1 bowl (200g),250,12.0,15,15.0,Vegetarian,INDIAN
